Idiom ID,English Idiom,Roman Urdu,Urdu Native
1,a fish out of water,Jal bin machli,جل بن مچھلی
2,a piece of cake,Baayein haath ka khel,بائیں ہاتھ کا کھیل
3,add fuel to the fire,Jalti par tel daalna,جلتی پر تیل ڈالنا
4,go against the grain,Ganga ulti behna,گنگا الٹی بہنا
5,armed to the teeth,Sar se paon tak musallah,سر سے پاؤں تک مسلح
6,like two peas in a pod,Ek hi saanche ke dhale hue,ایک ہی سانچے کے ڈھلے ہوئے
7,be at the back of one's mind,Zehan ke kisi kone mein hona,ذہن کے کسی کونے میں ہونا
8,be back to square one,Laut ke buddhu ghar ko aaye,لوٹ کے بدھو گھر کو آئے
9,balance the books,Hisaab kitaab barabar karna,حساب کتاب برابر کرنا
10,bang/beat the drum,Dhindhora peetna,ڈھول پیٹنا
11,be a wet blanket,Rang mein bhang daalna,رنگ میں بھنگ ڈالنا
12,be on cloud nine,khushi se phoolay nahi samaana,خوشی سے پھولے نہیں سمانا
13,be the spitting image,Hubehu shakal hona,ہوبہو شکل ہونا
14,beat to the punch,Baazi maar lena,بازی مار لینا
15,behind the times,Daqianusi,دقیانوسی
16,below the belt,neech harkat,نیچ حرکت
17,bet your bottom dollar,Sola aane yaqeen hona,سولہ آنے یقین ہونا
18,build castles in the air,Khayali pulao pakana,خیالی پلاؤ پکانا
19,bite someone's head off,Khaane ko daurna,کھانے کو دوڑنا
20,bite the bullet,Karwa ghoont peena,کڑوا گھونٹ پینا
21,bite the dust,Dhool chatna,دھول چاٹنا
22,blaze the trail,Raah hamwar karna,راہ ہموار کرنا
23,blow a fuse,Aag bagola hona,آگ بگولا ہونا
24,blow someone's mind,hairat ke pahaar toot parna,حیرت کے پہاڑ ٹوٹ پڑنا
25,blow to kingdome come,Jahannum wasil karna,جہنم واصل کرنا
26,blow your top,Aag bagola hona,آگ بگولا ہونا
27,born with a silver spoon,Moonh mein sonay ka chammach,منہ میں سونے کا چمچ
28,break the bank,bank khaali kar dena,بینک خالی کر دینا
29,break the ice,Mahol halka karna,ماحول ہلکا کرنا
30,break the record,sab ko peeche chhor dena,سب کو پیچھے چھوڑ دینا
31,bring home the bacon,Ghar ka chulha jalana,گھر کا چولہا جلانا
32,burn the midnight oil,Din raat aik karna,دن رات ایک کرنا
33,bury the hatchet,sulah safai karna,صلح صفائی کرنا
34,bust a gut,Papar Belna,پاپڑ بیلنا
35,by word of mouth,Zabaani Kalaami,زبانی کلامی
36,call a meeting,ijlaas bulaana,اجلاس بلانا
37,call the shots,Dorian apne haath mein rakhna,ڈورین اپنے ہاتھ میں رکھنا
38,can't believe my ears,Sun kar dang reh jana,سن کر دنگ رہ جانا
39,carry a torch (for someone),yak tarfa muhabbat,یک طرفہ محبت
40,carry the can,bojh uthana,بوجھ اٹھانا
41,cause a stir,khalbali mach jana,کھلبلی مچ جانا
42,cause an uproar,hangama khara karna,ہنگامہ کھڑا کرنا
43,chew the fat,gup shup karna,گپ شپ کرنا
44,clear the air,mitti paana,مٹی پانا
45,clear the decks,Raasta saaf karna,راستہ صاف کرنا
46,climb (jump on/get on) on the band wagon,Behti ganga mein haath dhona,بہتی گنگا میں ہاتھ دھونا
47,climb (up) the walls,pagal ho raha tha,پاگل ہو رہا تھا
48,come up roses,naseeb jaag uthay,نصیب جاگ اٹھے
49,cook his goose,apne paon par kulhaari maarna,اپنے پاؤں پر کلہاڑی مارنا
50,cook the books,Hisaab mein heera pheri karna,حساب میں ہیرا پھیری کرنا
51,cool his heels,haath par haath dhare baithna,ہاتھ پر ہاتھ دھرے بیٹھنا
52,cost an arm and a leg,Sone ke bhao,سونے کے بھاؤ
53,count the cost,Nafa nuqsan ka andaza lagana,نفع نقصان کا اندازہ لگانا
54,cover the territory,Har pehlu ka jaiza lena,ہر پہلو کا جائزہ لینا
55,cover up one's tracks,apne nishan mitana,اپنے نشان مٹانا
56,crack open a bottle,khushi mein jaam lundhana,خوشی میں جام لنڈھنا
57,crack a joke,Chutkula chorna,چٹکلا چھوڑنا
58,crack a smile,Muskura dena,مسکرا دینا
59,crack the whip,lohay ke haathon nipatna,لوہے کے ہاتھوں نپٹنا
60,cramp someone's style,par kat dena,پر کاٹ دینا
61,dance to another tune,Naya rang dikhana,نیا رنگ دکھانا
62,deliver the goods,Umeedon par pura utarna,امیدوں پر پورا اترنا
63,do the honors,Mehmaan nawazi karna,مہمان نوازی کرنا
64,do the rounds,baat jungle ki aag ki tarah phail gayi,بات جنگل کی آگ کی طرح پھیل گئی
65,do the trick,kaam ban jaayega,کام بن جائے گا
66,draw a blank,dimaag ki batti gul ho jana,دماغ کی بتی گل ہو جانا
67,draw the line,Hadain muqarrar karna,حدیں مقرر کرنا
68,dressed to kill,Qayamat dhana,قیامت دھنا
69,drive a hard bargain,Sakht soday baazi karna,سخت سودے بازی کرنا
70,drop a bombshell,Dhamaka-kheez khabar sunana,دھماکہ خیز خبر سنانا
71,eat his words,apne alfaaz wapas lena,اپنے الفاظ واپس لینا
72,one's eyes are bigger than one's stomach,Neeyat bhook se bari hona,نیت بھوک سے بڑی ہونا
73,face the music,Anjaam bhugatna,انجام بھگتنا
74,fall from grace,izzat khaak mein mil jana,عزت خاک میں مل جانا
75,fall on deaf ears,bhens ke aage been bajana,بھینس کے آگے بین بجانا
76,fan the flames,Aag par tel daalna,آگ پر تیل ڈالنا
77,feather one's nest,Apna ghar bharna,اپنا گھر بھرنا
78,fit as a fiddle,Hatta katta,ہٹا کٹا
79,fit the bill,Pura utarna,پورا اترنا
80,(+a) flash in the pan,Chaar din ki chandni,چار دن کی چاندنی
81,fly a kite,Hawa ka rukh dekhna,ہوا کا رخ دیکھنا
82,fly the coop,Rafu chakkar hona,رفو چکّر ہونا
83,follow the crowd,Bhed chaal chalna,بھیڑ چال چلنا
84,food for thought,Fikar ka samaan,فکر کا سامان
85,foot the bill,Jaib dheeli karna,جیب ڈھیلی کرنا
86,force someone's hand,majbooran qadam uthana,مجبوراً قدم اٹھانا
87,frighten out of one's wits,Hawaas bakhta kar dena,حواس باختہ کر دینا
88,have a frog in one's throat,gala baith jana,گلا بیٹھ جانا
89,get a grip,Hosh ke nakhun lo,ہوش کے ناخن لو
90,get the ball rolling,Bismillah karna,بسم اللہ کرنا
91,get/have the blues,Dil bujhna,دل بجھنا
92,get the brushoff,Thanda jawab milna,ٹھنڈا جواب ملنا
93,get the floor,baat karne ka mauqa milna,بات کرنے کا موقع ملنا
94,get the message,Ishara samajhna,اشارہ سمجھنا
95,get the nod,Hari jhandi milna,ہری جھنڈی ملنا
96,get the picture,Baat palley parna,بات پلے پڑنا
97,get the sack,nokri se haath dhona,نوکری سے ہاتھ دھونا
98,get your goat,Naak mein dum karna,ناک میں دم کرنا
99,get up on the wrong side of the bed,Ulti taraf se uthna,اُلٹی طرف سے اُٹھنا
100,gild the lily,Sone pe suhaga,سونے پہ سہاگہ
101,give (someone) the creeps,rongte kharay hona,رونگٹے کھڑے ہونا
102,give (someone) the willies,Rongtay kharay kar dena,رونگٹے کھڑے کر دینا
103,give it a whirl,Haath aazmana,ہاتھ آزمانا
104,give plenty of rope,Dheel dena,ڈھیل دینا
105,give the cold shoulder,munh pher lena,منہ پھیر لینا
106,go the limit,Jaan ki baazi lagana,جان کی بازی لگانا
107,go the whole hog,Koi kasar na chorna,کوئی کسر نہ چھوڑنا
108,go to pieces,hosh o hawas kho baithna,ہوش و حواس کھو بیٹھنا
109,grease the wheels,chakni chapri baton se kaam nikalna,چکنی چپڑی باتوں سے کام نکالنا
110,handle with kid gloves,Narmi se pesh aana,نرمی سے پیش آنا
111,have a ball,Khoob rang jamana,خوب رنگ زمانہ
112,have a fit,ghusse se aag bagola hona,غصّے سے آگ بگولا ہونا
113,have a go,qismat aazmana,قسمت آزمانا
114,have a screw loose,dimaag ka paich dheela hai,دماغ کا پیچ ڈھیلا ہے
115,have/take a stab,Tukka lagana,تکا لگانا
116,have an ax to grind,Apni dukaan chamkana,اپنی دکان چمکانا
117,have an out,Bachne ka rasta,بچنے کا راستہ
118,have cold feet,Himmat haar jana,ہمت ہار جانا
119,have (an) egg on your face,munh ki khaani parna,منہ کی کھانی پڑنا
120,have the heart,mera dil nahi maanta,میرا دل نہیں مانتا
121,hit a snag,Kaam atak jana,کام اٹک جانا
122,hit the books,kitabon ke keere ban jana,کتابوں کے کیڑے بن جانا
123,hit the bottle,sharaab ke nashe mein doob jana,شراب کے نشے میں ڈوب جانا
124,hit the ceiling,Aag bagola hona,آگ بگولا ہونا
125,hit the headlines,akhbaron ki zeenat banna,اخباروں کی زینت بننا
126,hit the jackpot,Qismat ka sitara chamak uthna,قسمت کا ستارہ چمک اٹھنا
127,hit the road,nikalna chahiye,نکلنا چاہیے
128,hit the roof,Aag bagola hona,آگ بگولا ہونا
129,hit the sack,bistar par girne,بستر پر گرنے
130,hit the sauce,jam kar peene,جم کر پینے
131,hit the spot,dil ko bha jana,دل کو بھا جانا
132,hitch a ride,lift lene,لفٹ لینے
133,hold the aces,Dorian apne haath mein hona,ڈورین اپنے ہاتھ میں ہونا
134,hold (down) the fort,morcha sambhaalunga,مورچہ سنبھالوں گا
135,hold your horses,zara sabar karna chahiye,ذرا صبر کرنا چاہیے
136,horse of another color,ek alag hi kahani hai,ایک الگ ہی کہانی ہے
137,in a pickle,mushkil mein phans jana,مشکل میں پھنس جانا
138,in hot water,Museebat mein phansna,مصیبت میں پھنسنا
139,in seventh heaven,Aasmanon par hona,آسمانوں پر ہونا
140,in the nick of time,ain waqt par,عین وقت پر
141,jump the gun,waqt se pehle qadam utha liya,وقت سے پہلے قدم اٹھا لیا
142,keep a level head,dimaagh thanda rakhna,دماغ ٹھنڈا رکھنا
143,keep an ace up your sleeve,choke par choka,چوک پر چوکا
144,kick a habit,aadat se jaan chhurana,عادت سے جان چھڑانا
145,kick the bucket,Allah ko pyara hona,اللہ کو پیارا ہونا
146,kick up your heels,dil khol kar khushiyan manana,دل کھول کر خوشیاں منانا
147,know the score,khota sikka pehchan-na,کھوٹا سکہ پہچاننا
148,lay down the law,apni man maani karna,اپنی من مانی کرنا
149,lead up a blind alley,Deewar par sar marna,دیوار پر سر مارنا
150,learn by heart,Zabani yaad karna,زبانی یاد کرنا
151,learn the ropes,kaam ke gur seekhna,کام کے گر سیکھنا
152,leave someone high and dry,Beech majdhaar mein chor dena,بیچ مجھدار میں چھوڑ دینا
153,lend (someone) an ear,kaan dharna,کان دھرنا
154,lend a hand,madad ke liye haath barhana,مدد کے لیے ہاتھ بڑھانا
155,let the cat out of the bag,Bhanda phorna,بھانڈا پھوڑنا
156,letter of the law,qanoon ki ibarat,قانون کی عبارت
157,lie through one's teeth,Aankhon mein dhool jhonkna,آنکھوں میں دھول جھونکنا
158,lift a finger,tinka tod kar dohra tak na kiya,تنکا توڑ کر دہرا تک نہ کیا
159,live a lie,jhooti zindagi guzarna,جھوٹی زندگی گزارنا
160,long arm of the law,Qanoon ke haath bohat lambe hain,قانون کے ہاتھ بہت لمبے ہیں
161,look the part,Jachna,جچنا
162,lose face,Munh ki khana,منہ کی کھانا
163,lose one's touch,Woh baat na rehna,وہ بات نہ رہنا
164,lose the thread,baat ki kari kho dena,بات کی کاری کھو دینا
165,lose your cool,aapay se bahar hona,اپے سے باہر ہونا
166,lose your grip,Paaon se phisalna,پاؤں سے پھسلنا
167,make a clean sweep,Safaya karna,صفایا کرنا
168,make a fuss,Toofan khara karna,طوفان کھڑا کرنا
169,make a killing,Andha paisa kamana,اندھا پیسہ کمانا
170,make a living,rozi kamana,روزی کمانا
171,make a move,pehl karna,پہل کرنا
172,make a pass,aankh larana,آنکھ لڑانا
173,make a pile,Andha paisa kamana,اندھا پیسہ کمانا
174,make a splash,Dhoom machana,دھوم مچانا
175,make no bones about (it),baat munh par kehna,بات منہ پر کہنا
176,make the grade,Mehnat rang laati hai,محنت رنگ لاتی ہے
177,make a scene,tamasha khara karna,تماشا کھڑا کرنا
178,make the scene,mehfil mein hazri dena,محفل میں حاضری دینا
179,miss the boat,Mauqa haath se nikal jana,موقع ہاتھ سے نکل جانا
180,miss the mark,Nishana chook jana,نشانَہ چوک جانا
181,muddy the waters,Maamla uljha dena,معاملہ الجھا دینا
182,name the day (date),Bismillah karna,بسم اللہ کرنا
183,nip in the bud,Olay mein hi kaat dena,اولے میں ہی کاٹ دینا
184,nurse a grudge,Dil mein keenah rakhna,دل میں کینہ رکھنا
185,oil the wheels,raasta hamwaar karna,راستہ ہموار کرنا
186,out of the blue,Baithe bithaye,بیٹھے بٹھائے
187,out of thin air,Hawa mein se,ہوا میں سے
188,over the hill,Balon mein chaandi utar aana,بالوں میں چاندی اتر آنا
189,overstep the mark,had paar karna,حد پار کرنا
190,pack a punch,jaan daal dena,جان ڈال دینا
191,pad the bill,Bill barha charha kar banana,بل بڑھا چڑھا کر بنانا
192,paint the town,Dhoom machana,دھوم مچانا
193,par for the course,Hamesha ki kahani,ہمیشہ کی کہانی
194,pass the buck,Zimmedari doosron par daalna,ذمہ داری دوسروں پر ڈالنا
195,pass the hat,chanda ikattha karna,چندہ اکٹھا کرنا
196,pave the way,Rasta hamwar karna,راستہ ہموار کرنا
197,pay lip service,"Zubaan se haan, dil se na",زبان سے ہاں، دل سے نہ
198,pay the piper,Jaisi karni waisi bharni,جیسی کرنی ویسی بھرنی
199,pay through the nose,khoon paseenay ki kamai lutana,خون پسینے کی کمائی لٹانا
200,play a part,Kirdar ada karna,کردار ادا کرنا
201,play by ear,Waqt par dekh lena,وقت پر دیکھ لینا
202,play the field,har shaakh par ullu baithana,ہر شاخ پر الو بیٹھا
203,play the fool,Maskhari karna,مسخری کرنا
204,play the game,Nizaam ke saath chalna,نظام کے ساتھ چلنا
205,play the market,Satta lagana,سَٹّا لگانا
206,play with fire,Aag se khelna,آگ سے کھیلنا
207,pop the question,Nikah ki baat karna,نکاح کی بات کرنا
208,pound the pavement,dar dar ki khaak chhaanna,در در کی خاک چھاننا
209,pour one's heart out,dil ka bojh halka karna,دل کا بوجھ ہلکا کرنا
210,praise to the skies,Aasman par charhana,آسمان پر چڑھنا
211,pull someone's leg,Taang kheenchna,ٹانگ کھینچنا
212,pull the plug (on something or someone),Thapp kar dena,تھپ کر دینا
213,pull the rug out from under someone's feet,paon talay se zameen nikal jana,پاؤں تلے سے زمین نکل جانا
214,put the screws on,Shikanja kasna,شکنجہ کسنا
215,rack one's brains,dimaag ke ghoday daurana,دماغ کے گھوڑے دوڑانا
216,it's raining cats and dogs,Mousla Dhar Barish Ho Rahi Hai,موسلا دھار بارش ہو رہی ہے
217,raise an eyebrow,Bhawain tan lena,بھاویں تن لینا
218,raise the roof,Aasman sar par utha lena,آسمان سر پر اٹھا لینا
219,rake over the coals,Garay murday ukhaarna,گڑے مردے اکھاڑنا
220,read between the lines,Baat ki teh tak pohanchna,بات کی تہ تک پہنچنا
221,return the compliment,Jawab mein tareef karna,جواب میں تعریف کرنا
222,ride the storm,Toofan ka muqabla karna,طوفان کا مقابلہ کرنا
223,ring a bell,Kuch suna suna lagna,کچھ سنا سنا لگنا
224,rise to the bait,Chikni chapri baaton mein aa jana,چکنی چپڑی باتوں میں آ جانا
225,rob the cradle,baal bachay ki umar ki larki se shadi karna,بال بچّے کی عمر کی لڑکی سے شادی کرنا
226,rock the boat,Sote sher ko mat jagao,سوتے شیر کو مت جگاؤ
227,rule of thumb,Andazay se karna,اندازے سے کرنا
228,rule the roost,ghar ki malka hona,گھر کی ملکہ ہونا
229,rule with an iron fist,Ahini haathon se nizaam chalana,آہنی ہاتھوں سے نظام چلانا
230,run a mile,jaan churana,جان چُرانا
231,run into the ground,nachor kar rakh dena,نچوڑ کر رکھ دینا
232,run the gauntlet,aag ke darya se guzarna,آگ کے دریا سے گزرنا
233,save the day,nao doobne se bacha li,ناؤ ڈوبنے سے بچا لی
234,save your skin,Apni khal bachana,اپنی کھال بچانا
235,say a mouthful,dil ko choo jana,دل کو چھو جانا
236,say the word,Bas hukm karna,بس حکم کرنا
237,"you scratch my back, I'll scratch yours",Ek hath se lou ek hath se dou,ایک ہاتھ سے لو، ایک ہاتھ سے دو
238,scratch the surface,baat ki teh tak nahi pohnchna,بات کی تہ تک نہیں پہنچنا
239,scream bloody murder,Aasman sar par utha lena,آسمان سر پر اٹھا لینا
240,seal one's fate,apne paon par kulhaari maarna,اپنے پاؤں پر کلہاڑی مارنا
241,see the light,aankhein khul jana,آنکھیں کھل جانا
242,see the world,Duniya dekhna,دنیا دیکھنا
243,seize the opportunity,loha garam hai to haath maar,لوہا گرم ہے تو ہاتھ مار
244,set the pace,Rasta dikhana,راستہ دکھانا
245,set the scene,baat ka pas-e-manzar bayan karna,بات کا پسِ منظر بیان کرنا
246,settle a score,Eent ka jawab pathar se dena,اینٹ کا جواب پتھر سے دینا
247,shoot the breeze,gup shup karna,گپ شپ کرنا
248,show the flag,Apna rang dikhana,اپنا رنگ دکھانا
249,shut your trap,Zaban ko lagam dou,زبان کو لگام دو
250,sit on the fence,Do kashtiyon par paaon rakhna,دو کشتیوں پر پاؤں رکھنا
251,skate on thin ice,Aag se khelna,آگ سے کھیلنا
252,slip one's mind,dimaag se nikal jana,دماغ سے نکل جانا
253,smell a rat,Daal mein kuch kaala hai,دال میں کچھ کالا ہے
254,speak your mind,Dil ki baat kaho,دل کی بات کہو
255,spill the beans,raaz faash karna,راز فاش کرنا
256,spin a yarn,lambi lambi chhorna,لمبی لمبی چھوڑنا
257,split hairs,baal ki khaal utaarna,بال کی کھال اتارنا
258,split the difference,Aadha rasta chalna,آدھا راستہ چلنا
259,stand a chance,umeed ki kiran,امید کی کرن
260,stay the course,Datt ka kharre rhena,ڈٹ کر کھڑے رہنا
261,steal someone's thunder,mera rang pheeka kar diya,میرا رنگ پھیکا کر دیا
262,to stick one's neck out,jaan hathaili par rakhna,جان ہتھیلی پر رکھنا
263,stir the blood,josh khoon mein daur gaya,جوش خون میں دوڑ گیا
264,stretch a point,Lambi phenkna,لمبی پھینکنا
265,strike a bargain,baat tay paana,بات طے پانا
266,strike a chord,dil ko choo jana,دل کو چھو جانا
267,sugar the pill,karwi goli par cheeni charhana,کڑوی گولی پر چینی چڑھانا
268,swallow one's pride,apni ana ko aik taraf rakhna,اپنی انا کو ایک طرف رکھنا
269,sweep the board,Sab ko maat dena,سب کو مات دینا
270,swing the lead,kaam chor banna,کام چور بننا
271,take a spill,munh ke bal girna,منہ کے بل گرنا
272,take someone to the cleaners,kangal kar dena,کنگال کر دینا
273,take the back seat,peeche hat jana,پیچھے ہٹ جانا
274,take the bait,Jaal mein phansna,جال میں پھنسنا
275,take the bull by the horns,Khatray ki aankhon mein aankhein daalna,خطرے کی آنکھوں میں آنکھیں ڈالنا
276,take the cake,Sab par baazi le jana,سب پر بازی لے جانا
277,take the plunge,Maidaan mein koodna,میدان میں کودنا
278,take the stand,Kathaire mein aana,کٹہرے میں آنا
279,take with a grain of salt,Aankh band kar ke yaqeen na karna,آنکھ بند کر کے یقین نہ کرنا
280,talk a mile a minute,Zuban qainchi ki tarah chalna,زبان قینچی کی طرح چلنا
281,throw money out the window,Paisa pani ki tarah bahana,پیسہ پانی کی طرح بہانا
282,tickle the ivories,Piano par ungliyan phirana,پیانو پر انگلیاں پھیرنا
283,tie the knot,shaadi ke bandhan mein bandhnaa,شادی کے بندھن میں بندھنا
284,tip of the iceberg,Yeh to mahez ek jhalak hai,یہ تو محض ایک جھلک ہے
285,tip the balance,palla bhaari hona,پلہ بھاری ہونا
286,tip the scales,pehla qadam uthane,پہلا قدم اٹھانے
287,toe the line,hukm ke aage sar jhukaana,حکم کے آگے سر جھکانا
288,turn the corner,Khatre se bahar aana,خطرے سے باہر آنا
289,turn the tables,Baazi palat dena,بازی پلٹ دینا
290,turn the tide,paansa palat dena,پانسہ پلٹ دینا
291,twist someone's arm,Dabao daalna,دباؤ ڈالنا
292,under someone's thumb,kisi ki mutthi mein hona,کسی کی مٹھی میں ہونا
293,under the weather,Jism toota ja raha hai,جسم ٹوٹا جا رہا ہے
294,up the ante,Daao Barhana,داؤ بڑھانا
295,walk a tightrope,Talwar ki dhaar par chalna,تلوار کی دھار پر چلنا
296,waste your breath,bhains ke aage been bajana,بھینس کے آگے بین بجانا
297,wear the pants,Ghar ki baag dor us ke haath mein hai,گھر کی باگ ڈور اس کے ہاتھ میں ہے
298,weather the storm,toofan ka muqabla karna,طوفان کا مقابلہ کرنا
299,with flying colors,Kamyabi ke jhanday gardaana,کامیابی کے جھنڈے گاڑنا
300,would give the world,jaan dene ko tayyar hona,جان دینے کو تیار ہونا
